Timestamp,CPU Usage System Wide (%),Individual CPU Usage Per Core(%),User CPU Usage (%),CPU Frequency Per CPU (%)
2024-03-29 14:39:51,4.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=4191.817, min=800.0, max=4500.0)"
2024-03-29 14:39:52,3.3,"[10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.0,"scpufreq(current=2815.2210833333334, min=800.0, max=4500.0)"
2024-03-29 14:39:52,4.1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=2292.0811666666664, min=800.0, max=4500.0)"
2024-03-29 14:39:52,6.7,"[9.1, 0.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 10.0, 0.0]",9.1,"scpufreq(current=3601.2923333333333, min=800.0, max=4500.0)"
2024-03-29 14:39:53,2.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3399.517166666667, min=800.0, max=4500.0)"
2024-03-29 14:39:53,4.1,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1]",0.0,"scpufreq(current=3414.5562499999996, min=800.0, max=4500.0)"
2024-03-29 14:39:53,1.7,"[9.1, 10.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.1,"scpufreq(current=3867.1102499999997, min=800.0, max=4500.0)"
2024-03-29 14:39:53,4.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0]",0.0,"scpufreq(current=2852.0681666666665, min=800.0, max=4500.0)"
2024-03-29 14:39:54,2.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=2815.2095833333333, min=800.0, max=4500.0)"
2024-03-29 14:39:54,3.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3420.6470833333333, min=800.0, max=4500.0)"
2024-03-29 14:39:54,1.7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3105.078333333333, min=800.0, max=4500.0)"
2024-03-29 14:39:55,2.5,"[0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3067.0484166666665, min=800.0, max=4500.0)"
2024-03-29 14:39:55,5.1,"[30.0, 27.3, 30.0, 20.0, 20.0, 30.0, 0.0, 0.0, 0.0, 0.0, 30.0, 11.1]",30.0,"scpufreq(current=2252.1628333333333, min=800.0, max=4500.0)"
2024-03-29 14:39:55,4.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.4, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3348.4801666666663, min=800.0, max=4500.0)"
2024-03-29 14:39:56,2.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0]",0.0,"scpufreq(current=2834.0595, min=800.0, max=4500.0)"
2024-03-29 14:39:56,2.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"scpufreq(current=3357.838666666667, min=800.0, max=4500.0)"
2024-03-29 14:39:56,3.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0]",0.0,"scpufreq(current=2840.58475, min=800.0, max=4500.0)"
